,Brand,Model,CPU,GPU,RAM_GB,Storage_Type,Storage_GB,Touchscreen,Weight_kg,Screen_Size_inch,Discount_percent,Price_SGD,Brand_Discount,Member_Discount
185,Asus,TUF Gaming F15,Intel i9-14900HK,NVIDIA RTX 4070,64,SSD,512,TRUE,1.17,14,3.79,3403.20,100,204.19
186,Asus,ZenBook 14,Intel i9-14900HK,NVIDIA RTX 4070,64,SSD,4096,FALSE,2.02,15.6,4.1,3591.60,100,251.41
187,Asus,TUF Gaming F15,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,16,SSD,1024,TRUE,1.19,13.3,6.91,3470.40,100,242.93
188,Asus,ZenBook 14,Intel i5-14500H,Intel Iris Xe,16,SSD,256,FALSE,2.77,17.3,2.68,1523.60,100,91.42
189,Asus,ExpertBook B9,AMD Ryzen 5 8600H,AMD Radeon 680M,32,SSD,256,FALSE,1.17,14,4.05,1701.61,100,85.08
190,Asus,ExpertBook B9,AMD Ryzen 7 8800H,NVIDIA RTX 4060,64,SSD,512,TRUE,2.31,16,4,2753.20,100,192.72
191,Asus,VivoBook S15,Intel i7-14700H,NVIDIA RTX 4060,64,SSD,256,TRUE,1.36,13.3,2.38,2697.60,100,161.86
192,Asus,VivoBook S15,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,128,SSD,256,FALSE,2.21,15.6,2.55,2819.60,100,197.37
193,Asus,VivoBook S15,Intel i5-14600H,Intel Iris Xe,128,SSD,2048,FALSE,2.5,18.4,4.07,2598.80,100,181.92
194,Asus,ExpertBook B9,Intel i9-14900HK,NVIDIA RTX 4080,32,SSD,256,TRUE,1.3,13.3,4.6,3441.60,100,240.91
195,Asus,TUF Gaming F15,Intel i5-14600H,NVIDIA RTX 4050,128,SSD,2048,TRUE,1.04,14,3.02,3018.80,100,150.94
196,Asus,ExpertBook B9,Intel Core Ultra 7 15500H,Intel Arc A750M,128,SSD,4096,TRUE,2.63,17.3,5.42,2823.60,100,197.65
197,Asus,VivoBook S15,Intel i9-14900HK,NVIDIA RTX 4080,16,SSD,4096,FALSE,1.01,13.3,2.18,3657.60,100,182.88
198,Asus,ZenBook 14,Intel i5-14600H,NVIDIA RTX 4050,8,SSD,256,FALSE,2.52,18.4,5.16,1709.60,100,119.67
199,Asus,ROG Zephyrus G15,Intel i5-14600H,NVIDIA RTX 4050,64,SSD,2048,FALSE,2.75,18.4,6.55,2336.80,100,140.21
200,Asus,ROG Zephyrus G15,AMD Ryzen 5 8600H,AMD Radeon 680M,8,SSD,1024,TRUE,1.43,13.3,4.19,1626.40,100,113.85
201,Asus,TUF Gaming F15,AMD Ryzen 9 8900HX,AMD Radeon 780M,16,SSD,4096,FALSE,3.32,17.3,4.32,2657.60,100,186.03
202,Asus,ExpertBook B9,Intel i5-14600H,NVIDIA RTX 4050,64,SSD,512,FALSE,1.47,14,2.79,2153.20,100,107.66
203,Asus,VivoBook S15,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,SSD,256,TRUE,1.02,13.3,4.27,2071.60,100,103.58
204,Asus,ExpertBook B9,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,128,SSD,512,FALSE,2.01,16,4.99,3545.20,100,177.26
205,Asus,TUF Gaming F15,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,128,SSD,2048,FALSE,3.26,17.3,6.85,3298.80,100,197.93
206,Asus,ExpertBook B9,Intel i7-14800H,NVIDIA RTX 4070,16,SSD,4096,TRUE,1.76,15.6,2.71,3027.60,100,151.38
207,Asus,ROG Zephyrus G15,AMD Ryzen 5 8600H,NVIDIA RTX 4050,16,SSD,4096,FALSE,2.02,16,6.52,2157.60,100,129.46
208,Asus,ROG Zephyrus G15,Intel i7-14700H,NVIDIA RTX 4060,128,SSD,2048,FALSE,2.63,17.3,5.14,3298.80,100,230.92
209,Asus,ROG Zephyrus G15,Intel i5-14500H,Intel Iris Xe,128,SSD,1024,TRUE,2.48,16,4.66,2616.40,100,183.15
210,Asus,ROG Zephyrus G15,Intel i7-14700H,NVIDIA RTX 4070,32,SSD,512,FALSE,1.55,16,3.19,2677.20,100,133.86
211,Asus,TUF Gaming F15,AMD Ryzen 7 8800H,NVIDIA RTX 4070,16,SSD,256,TRUE,2.91,17.3,6.02,2643.61,100,185.05
212,Asus,VivoBook S15,Intel i5-14500H,NVIDIA RTX 4050,32,SSD,1024,TRUE,2.58,17.3,4,2098.40,100,146.89
213,Asus,VivoBook S15,Intel i9-14900HK,NVIDIA RTX 4080,32,SSD,2048,FALSE,3.08,17.3,2.88,3530.80,100,247.16
214,Asus,ROG Zephyrus G15,Intel i7-14800H,NVIDIA RTX 4060,128,SSD,4096,TRUE,1.25,14,4.05,3673.60,100,257.15
215,Asus,ExpertBook B9,Intel i5-14600H,Intel Iris Xe,16,SSD,1024,FALSE,2.23,15.6,5.34,1600.40,100,96.02
216,Asus,ExpertBook B9,Intel i7-14700H,NVIDIA RTX 4060,16,SSD,512,FALSE,2.32,15.6,6.15,2249.20,100,134.95
217,Asus,TUF Gaming F15,AMD Ryzen 7 8800H,AMD Radeon 780M,8,SSD,1024,TRUE,2.79,18.4,4.67,2106.40,100,147.45
218,Asus,ZenBook 14,Intel i5-14500H,NVIDIA RTX 4050,32,SSD,1024,FALSE,1.09,13.3,4.89,2028.40,100,121.7
219,Asus,ROG Zephyrus G15,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,8,SSD,4096,FALSE,2.12,16,6.71,2243.60,100,112.18
220,Asus,ZenBook 14,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,128,SSD,4096,TRUE,1.51,15.6,2.5,4023.60,100,241.42
221,Asus,VivoBook S15,AMD Ryzen 5 8600H,NVIDIA RTX 4050,64,SSD,1024,FALSE,1.11,14,5.38,2284.40,100,159.91
222,Asus,ExpertBook B9,Intel i7-14700H,NVIDIA RTX 4060,128,SSD,1024,FALSE,2.26,15.6,4.94,3196.40,100,223.75
223,Asus,VivoBook S15,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,32,SSD,1024,FALSE,1.45,13.3,3.9,2998.40,100,179.9
224,Asus,ZenBook 14,AMD Ryzen 7 8800H,NVIDIA RTX 4060,32,SSD,512,FALSE,1.21,14,3.88,2427.20,100,169.9
225,Asus,TUF Gaming F15,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,64,SSD,2048,FALSE,1.3,13.3,6.84,3356.79,100,201.41
226,Asus,ZenBook 14,Intel i5-14500H,NVIDIA RTX 4050,16,SSD,256,TRUE,2.1,15.6,3.68,1893.60,100,94.68
227,Asus,ExpertBook B9,Intel Core Ultra 9 15700H,Intel Arc A750M,64,SSD,256,TRUE,1.43,13.3,4.79,1897.59,100,113.86
228,Asus,ExpertBook B9,AMD Ryzen 9 8900HX,AMD Radeon 780M,32,SSD,4096,FALSE,1.44,13.3,4.86,2755.60,100,192.89
229,Asus,ExpertBook B9,AMD Ryzen 9 8900HX,AMD Radeon 780M,128,SSD,256,FALSE,2.51,18.4,4.47,3169.60,100,158.48
230,Asus,ZenBook 14,AMD Ryzen 7 8800H,AMD Radeon 780M,16,SSD,4096,FALSE,3.05,18.4,3.15,2357.60,100,141.46
231,Asus,ExpertBook B9,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,32,SSD,256,TRUE,3.32,18.4,3.3,2471.60,100,148.3
232,Asus,VivoBook S15,Intel i5-14600H,NVIDIA RTX 3050,16,SSD,256,FALSE,1.04,14,5.43,1573.60,100,78.68
233,Asus,VivoBook S15,Intel i5-14500H,Intel Iris Xe,16,SSD,256,FALSE,1.63,16,5.62,1523.60,100,91.42
234,Asus,ZenBook 14,AMD Ryzen 7 8800H,NVIDIA RTX 4060,8,SSD,2048,TRUE,1.25,13.3,3.35,2508.80,100,150.53
235,Asus,ZenBook 14,Intel Core Ultra 9 15700H,Intel Arc A750M,32,SSD,512,TRUE,1.05,13.3,4.93,1747.20,100,104.83
236,Asus,ROG Zephyrus G15,Intel i7-14800H,NVIDIA RTX 4070,16,SSD,256,TRUE,2.52,17.3,5.75,2643.60,100,158.62
237,Asus,ExpertBook B9,Intel i5-14600H,NVIDIA RTX 3050,8,SSD,2048,FALSE,1.43,14,5.03,1608.80,100,112.62
238,Asus,ExpertBook B9,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,32,SSD,512,FALSE,3.05,18.4,6.23,2977.20,100,148.86
239,Asus,ROG Zephyrus G15,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,16,SSD,4096,TRUE,2.24,15.6,3.35,3327.60,100,232.93
240,Asus,TUF Gaming F15,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,16,SSD,512,TRUE,1.05,13.3,3.89,2419.20,100,145.15
241,Asus,VivoBook S15,AMD Ryzen 5 8600H,NVIDIA RTX 3050,16,SSD,4096,FALSE,2.66,17.3,2.31,1907.60,100,95.38
242,Asus,ROG Zephyrus G15,Intel i9-14900HK,NVIDIA RTX 4080,32,SSD,1024,TRUE,1.99,15.6,4.61,3548.40,100,248.39
243,Asus,ROG Zephyrus G15,Intel i9-14900HK,NVIDIA RTX 4070,128,SSD,256,TRUE,1.24,13.3,2.02,3889.60,100,194.48
244,Asus,TUF Gaming F15,Intel i5-14600H,NVIDIA RTX 4050,128,SSD,1024,TRUE,1.8,15.6,5.24,2866.40,100,171.98
245,Asus,TUF Gaming F15,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,8,SSD,4096,FALSE,2.62,17.3,6.33,2543.60,100,152.62
246,Asus,ZenBook 14,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,64,SSD,1024,FALSE,3.08,18.4,3.76,2684.40,100,134.22
247,Asus,ZenBook 14,AMD Ryzen 5 8600H,AMD Radeon 680M,8,SSD,256,TRUE,2.58,18.4,5.18,1579.60,100,110.57
248,Asus,ZenBook 14,Intel i5-14500H,Intel Iris Xe,32,SSD,1024,TRUE,1.17,14,4.46,1898.40,100,94.92
249,Asus,ExpertBook B9,Intel i7-14700H,NVIDIA RTX 4070,128,SSD,1024,FALSE,1.77,16,3.98,3496.40,100,174.82
250,Asus,ExpertBook B9,Intel i9-14900HK,NVIDIA RTX 4070,128,SSD,256,TRUE,1,14,2.79,3889.60,100,272.27
251,Asus,VivoBook S15,Intel i9-14900HK,NVIDIA RTX 4080,8,SSD,1024,FALSE,1.82,16,2.42,3236.40,100,194.18
252,Asus,VivoBook S15,Intel i7-14800H,NVIDIA RTX 4070,128,SSD,512,TRUE,2.96,17.3,6.05,3565.20,100,249.56
253,Asus,TUF Gaming F15,Intel i5-14500H,Intel Iris Xe,32,SSD,4096,TRUE,3.23,17.3,5.23,2155.60,100,150.89
254,Asus,TUF Gaming F15,Intel i5-14600H,NVIDIA RTX 3050,16,SSD,512,TRUE,2.22,15.6,6.82,1669.20,100,100.15
255,Asus,ExpertBook B9,Intel i5-14500H,NVIDIA RTX 4050,32,SSD,2048,FALSE,1.9,16,5.15,2080.80,100,124.85
256,Asus,ExpertBook B9,AMD Ryzen 5 8600H,NVIDIA RTX 3050,64,SSD,256,TRUE,3.18,17.3,6.21,2027.60,100,121.66
257,Asus,ZenBook 14,Intel i7-14800H,NVIDIA RTX 4080,64,SSD,2048,FALSE,3.05,17.3,6.68,3486.80,100,174.34
258,Asus,TUF Gaming F15,Intel i7-14700H,NVIDIA RTX 4070,64,SSD,2048,FALSE,2.78,17.3,3.69,3086.80,100,185.21
259,Asus,ROG Zephyrus G15,AMD Ryzen 9 8900HX,AMD Radeon 780M,32,SSD,256,TRUE,2.4,15.6,2.34,2521.60,100,126.08
260,Asus,VivoBook S15,Intel i9-14900HK,NVIDIA RTX 4070,64,SSD,256,FALSE,2.03,16,2.18,3207.60,100,192.46
261,Asus,ExpertBook B9,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,128,SSD,2048,TRUE,2.8,17.3,2.32,4018.80,100,200.94
262,Asus,TUF Gaming F15,AMD Ryzen 5 8600H,AMD Radeon 680M,64,SSD,512,FALSE,3.24,17.3,6.31,1933.21,100,135.32
263,Asus,TUF Gaming F15,Intel i9-14900HK,NVIDIA RTX 4080,128,SSD,256,FALSE,3.17,18.4,2.19,4119.60,100,288.37
264,Asus,ExpertBook B9,Intel i9-14900HK,NVIDIA RTX 4070,32,SSD,256,FALSE,2.86,17.3,6.58,2951.59,100,206.61
265,Asus,VivoBook S15,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,128,SSD,4096,FALSE,2.62,17.3,6.79,3503.60,100,210.22
266,Asus,ZenBook 14,AMD Ryzen 9 8900HX,AMD Radeon 780M,16,SSD,512,TRUE,1.18,13.3,5.18,2469.20,100,148.15
267,Asus,TUF Gaming F15,Intel i9-14900HK,NVIDIA RTX 4080,32,SSD,1024,FALSE,1.02,13.3,2.03,3478.40,100,208.7
268,Asus,ROG Zephyrus G15,Intel i9-14900HK,NVIDIA RTX 4080,32,SSD,4096,FALSE,1.17,14,2.76,3785.60,100,227.14
269,Asus,ZenBook 14,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,64,SSD,4096,TRUE,1.18,13.3,5.61,3561.60,100,213.7
270,Asus,TUF Gaming F15,Intel i5-14500H,NVIDIA RTX 4050,8,SSD,1024,FALSE,1.37,14,2.65,1756.40,100,122.95
271,Asus,ROG Zephyrus G15,Intel i7-14800H,NVIDIA RTX 4060,128,SSD,2048,TRUE,1.09,13.3,4.09,3468.80,100,208.13
272,Asus,ROG Zephyrus G15,Intel i7-14700H,NVIDIA RTX 4060,32,SSD,256,TRUE,1.67,15.6,4.72,2471.60,100,148.3
273,Asus,ExpertBook B9,AMD Ryzen 7 8800H,NVIDIA RTX 4070,128,SSD,4096,TRUE,2.23,15.6,6.98,3923.60,100,274.65
274,Asus,ZenBook 14,Intel i7-14700H,NVIDIA RTX 4060,16,SSD,256,FALSE,3.12,18.4,4.98,2223.60,100,111.18
275,Asus,TUF Gaming F15,AMD Ryzen 5 8600H,AMD Radeon 680M,8,SSD,4096,TRUE,2.11,16,6.97,1963.60,100,98.18
276,Asus,VivoBook S15,Intel i7-14800H,NVIDIA RTX 4070,64,SSD,256,TRUE,1.51,16,4.51,3027.60,100,181.66
277,Asus,VivoBook S15,AMD Ryzen 5 8600H,NVIDIA RTX 4050,64,SSD,512,TRUE,1.62,15.6,2.68,2303.20,100,138.19
278,Asus,ExpertBook B9,Intel i5-14600H,NVIDIA RTX 3050,128,SSD,256,TRUE,1.24,13.3,4.34,2589.60,100,155.38
279,Asus,ExpertBook B9,Intel i7-14800H,NVIDIA RTX 4060,64,SSD,256,FALSE,2.06,15.6,6.74,2607.60,100,156.46
280,Asus,ZenBook 14,Intel i7-14700H,NVIDIA RTX 4070,128,SSD,1024,TRUE,2.62,18.4,3.28,3616.40,100,216.98
281,Asus,ExpertBook B9,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,128,SSD,2048,FALSE,1.86,15.6,2.75,4298.80,100,300.92
282,Asus,ROG Zephyrus G15,AMD Ryzen 5 8600H,NVIDIA RTX 4050,64,SSD,256,TRUE,3.42,18.4,6.3,2277.60,100,159.43
283,Asus,ExpertBook B9,Intel i9-14900HK,NVIDIA RTX 4070,8,SSD,256,TRUE,2.85,17.3,6.64,2879.60,100,143.98
284,Asus,ROG Zephyrus G15,Intel i5-14500H,Intel Iris Xe,64,SSD,256,TRUE,1.42,14,6.01,1997.60,100,99.88
285,Asus,ExpertBook B9,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,128,SSD,4096,FALSE,1.92,16,4.62,4103.60,100,287.25
286,Asus,TUF Gaming F15,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,8,SSD,256,FALSE,1.35,13.3,2.61,2129.60,100,106.48
287,Asus,TUF Gaming F15,Intel i7-14800H,NVIDIA RTX 4080,16,SSD,4096,FALSE,3.04,17.3,6.03,3307.60,100,165.38
288,Asus,ExpertBook B9,Intel i5-14600H,NVIDIA RTX 4050,8,SSD,256,FALSE,3.19,18.4,6.3,1709.61,100,85.48
289,Asus,VivoBook S15,Intel Core Ultra 9 15700H,Intel Arc A750M,64,SSD,512,TRUE,1,13.3,5.8,2003.20,100,100.16
290,Asus,VivoBook S15,Intel i7-14800H,NVIDIA RTX 4080,16,SSD,512,FALSE,2.2,15.6,2.26,2949.20,100,176.95
291,Asus,ZenBook 14,Intel Core Ultra 9 15700H,Intel Arc A750M,128,SSD,2048,FALSE,2.68,17.3,2.79,2498.80,100,174.92
292,Asus,TUF Gaming F15,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,64,SSD,256,FALSE,1.02,14,4.24,3657.60,100,182.88
293,Asus,ROG Zephyrus G15,Intel i7-14800H,NVIDIA RTX 4060,64,SSD,1024,TRUE,1.68,15.6,2.59,2804.40,100,168.26
294,Asus,VivoBook S15,Intel i7-14800H,NVIDIA RTX 4070,16,SSD,1024,FALSE,1.81,15.6,5.14,2600.40,100,182.03
295,Asus,VivoBook S15,Intel i5-14600H,NVIDIA RTX 3050,8,SSD,256,FALSE,3.37,17.3,2.17,1459.60,100,72.98
296,Asus,ROG Zephyrus G15,Intel Core Ultra 9 15700H,Intel Arc A750M,8,SSD,4096,FALSE,2.78,18.4,5.89,1743.60,100,122.05
297,Asus,ExpertBook B9,AMD Ryzen 5 8600H,NVIDIA RTX 3050,64,SSD,4096,FALSE,1.16,13.3,4.86,2341.60,100,140.5
298,Asus,ROG Zephyrus G15,AMD Ryzen 5 8600H,AMD Radeon 680M,8,SSD,1024,FALSE,3.14,17.3,6.17,1536.40,100,107.55
299,Asus,VivoBook S15,Intel i5-14500H,NVIDIA RTX 4050,64,SSD,512,FALSE,2.68,18.4,4.86,2183.20,100,109.16
300,Asus,ZenBook 14,Intel i9-14900HK,NVIDIA RTX 4070,64,SSD,512,FALSE,3.18,17.3,5.51,3233.20,100,226.32
301,Asus,ZenBook 14,AMD Ryzen 5 8600H,AMD Radeon 680M,64,SSD,512,TRUE,2.58,17.3,5.96,2053.20,100,123.19
302,Asus,ROG Zephyrus G15,AMD Ryzen 5 8600H,AMD Radeon 680M,64,SSD,2048,TRUE,1.49,13.3,6.75,2176.80,100,152.38
303,Asus,ZenBook 14,Intel i5-14500H,NVIDIA RTX 4050,64,SSD,1024,TRUE,3.18,17.3,6.44,2354.40,100,117.72
304,Asus,ZenBook 14,AMD Ryzen 7 8800H,AMD Radeon 780M,32,SSD,512,FALSE,2.99,18.4,6,2127.20,100,148.9
305,Asus,ZenBook 14,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,128,SSD,1024,TRUE,2.33,15.6,2.11,3916.40,100,234.98
306,Asus,ROG Zephyrus G15,Intel i5-14500H,Intel Iris Xe,8,SSD,256,TRUE,1.05,14,6.2,1629.59,100,81.48
307,Asus,VivoBook S15,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,64,SSD,4096,TRUE,2.95,17.3,4.78,3511.60,100,245.81
308,Asus,ExpertBook B9,Intel Core Ultra 9 15700H,Intel Arc A750M,8,SSD,256,TRUE,2.2,16,5.12,1479.60,100,73.98
309,Asus,TUF Gaming F15,AMD Ryzen 7 8800H,NVIDIA RTX 4060,64,SSD,1024,FALSE,1.88,16,4.16,2684.40,100,134.22
310,Asus,ZenBook 14,Intel i5-14600H,NVIDIA RTX 3050,64,SSD,256,FALSE,1.9,16,4.99,1907.60,100,95.38
311,Asus,ExpertBook B9,Intel i5-14600H,NVIDIA RTX 4050,64,SSD,1024,TRUE,2.51,18.4,5.87,2354.40,100,141.26
312,Asus,ExpertBook B9,Intel i5-14500H,NVIDIA RTX 4050,8,SSD,1024,TRUE,1.83,16,3.85,1906.40,100,133.45
313,Asus,ExpertBook B9,Intel i5-14600H,NVIDIA RTX 4050,64,SSD,2048,TRUE,1.12,14,6.35,2506.80,100,175.48
314,Asus,TUF Gaming F15,AMD Ryzen 5 8600H,AMD Radeon 680M,128,SSD,512,TRUE,1.03,14,5.48,2615.20,100,130.76
315,Asus,VivoBook S15,Intel i5-14500H,Intel Iris Xe,64,SSD,4096,TRUE,1.28,14,4.51,2461.60,100,123.08
316,Asus,VivoBook S15,Intel i5-14500H,NVIDIA RTX 3050,16,SSD,512,FALSE,1.35,14,3.2,1519.20,100,75.96
317,Asus,VivoBook S15,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,128,SSD,1024,TRUE,1.23,14,5.15,3966.40,100,237.98
318,Asus,TUF Gaming F15,Intel i7-14700H,NVIDIA RTX 4070,64,SSD,256,TRUE,2.24,16,5.47,3027.60,100,151.38
319,Asus,TUF Gaming F15,Intel i5-14600H,NVIDIA RTX 3050,8,SSD,1024,TRUE,1.29,13.3,3.95,1706.40,100,102.38
320,Asus,ExpertBook B9,AMD Ryzen 7 8800H,AMD Radeon 780M,128,SSD,4096,FALSE,2.59,17.3,2.68,3253.60,100,195.22
321,Asus,ROG Zephyrus G15,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,8,SSD,1024,TRUE,1.37,14,5.75,2326.40,100,162.85
322,Asus,ZenBook 14,Intel i7-14800H,NVIDIA RTX 4060,32,SSD,512,TRUE,3.46,17.3,5.87,2497.20,100,124.86
323,Asus,ROG Zephyrus G15,Intel i7-14800H,NVIDIA RTX 4070,64,SSD,2048,FALSE,3,17.3,4.9,3086.80,100,185.21
324,Asus,TUF Gaming F15,AMD Ryzen 7 8800H,NVIDIA RTX 4070,128,SSD,2048,FALSE,1.14,14,3.53,3648.80,100,255.42
325,Asus,VivoBook S15,AMD Ryzen 7 8800H,NVIDIA RTX 4060,128,SSD,512,FALSE,2.31,16,5.3,3145.20,100,220.16
326,Asus,TUF Gaming F15,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,128,SSD,2048,TRUE,1.1,14,6.4,3868.80,100,232.13
327,Asus,TUF Gaming F15,Intel i7-14700H,NVIDIA RTX 4070,64,SSD,512,FALSE,2.02,15.6,4.52,2933.20,100,146.66
328,Asus,TUF Gaming F15,Intel i7-14800H,NVIDIA RTX 4070,128,SSD,2048,TRUE,1.19,14,2.88,3768.80,100,188.44
329,Asus,ExpertBook B9,Intel Core Ultra 7 15500H,Intel Arc A750M,128,SSD,1024,FALSE,2.27,15.6,3.14,2396.40,100,167.75
330,Asus,ZenBook 14,Intel i5-14500H,Intel Iris Xe,16,SSD,4096,FALSE,1.57,15.6,6.92,1907.60,100,133.53
331,Asus,ROG Zephyrus G15,AMD Ryzen 7 8800H,AMD Radeon 780M,8,SSD,256,FALSE,1.63,15.6,4.56,1909.60,100,133.67
332,Asus,VivoBook S15,AMD Ryzen 5 8600H,NVIDIA RTX 4050,64,SSD,4096,FALSE,1.28,14,3.1,2591.60,100,129.58
333,Asus,ROG Zephyrus G15,Intel i7-14700H,NVIDIA RTX 4060,8,SSD,512,FALSE,2.44,16,2.11,2185.20,100,109.26
334,Asus,ZenBook 14,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,64,SSD,512,TRUE,2.39,16,4.99,2753.20,100,137.66
335,Asus,ExpertBook B9,Intel i5-14500H,Intel Iris Xe,16,SSD,256,TRUE,1.45,14,5.76,1613.60,100,96.82
336,Asus,ExpertBook B9,AMD Ryzen 5 8600H,NVIDIA RTX 3050,8,SSD,256,TRUE,2.88,17.3,3.79,1579.60,100,94.78
337,Asus,TUF Gaming F15,Intel i5-14500H,NVIDIA RTX 4050,64,SSD,256,FALSE,2.03,16,3.16,2157.60,100,129.46
338,Asus,VivoBook S15,AMD Ryzen 7 8800H,NVIDIA RTX 4060,32,SSD,4096,TRUE,2.65,18.4,2.78,2855.60,100,199.89
339,Asus,ROG Zephyrus G15,Intel i9-14900HK,NVIDIA RTX 4080,128,SSD,512,FALSE,2.75,18.4,6.01,4145.20,100,207.26
340,Asus,ROG Zephyrus G15,Intel i7-14800H,NVIDIA RTX 4080,16,SSD,1024,TRUE,1.36,14,4.83,3090.40,100,154.52
341,Asus,ROG Zephyrus G15,Intel i5-14600H,NVIDIA RTX 3050,128,SSD,256,FALSE,1.79,15.6,3.78,2419.60,100,169.37
342,Asus,ROG Zephyrus G15,Intel i5-14600H,NVIDIA RTX 4050,16,SSD,512,FALSE,3.48,18.4,5.02,1799.20,100,107.95
343,Asus,VivoBook S15,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,128,SSD,1024,FALSE,2.99,17.3,2.18,2896.40,100,173.78
344,Asus,ROG Zephyrus G15,Intel i5-14500H,NVIDIA RTX 3050,64,SSD,1024,FALSE,2.63,18.4,3.11,1984.40,100,99.22
345,Asus,ZenBook 14,AMD Ryzen 5 8600H,NVIDIA RTX 4050,16,SSD,1024,FALSE,1.17,13.3,4.89,1900.40,100,133.03
346,Asus,ExpertBook B9,AMD Ryzen 7 8800H,NVIDIA RTX 4070,16,SSD,4096,FALSE,1.45,13.3,6.36,2877.60,100,172.66
347,Asus,ROG Zephyrus G15,Intel i9-14900HK,NVIDIA RTX 4070,128,SSD,4096,TRUE,1.78,15.6,6.11,4223.60,100,253.42
348,Asus,ZenBook 14,Intel Core Ultra 7 15500H,Intel Arc A750M,8,SSD,1024,TRUE,2.89,18.4,4.88,1556.40,100,77.82
349,Asus,ExpertBook B9,AMD Ryzen 7 8800H,NVIDIA RTX 4070,16,SSD,4096,FALSE,2.63,18.4,2.91,2907.60,100,145.38
350,Asus,ZenBook 14,Intel i5-14500H,NVIDIA RTX 4050,128,SSD,4096,TRUE,1.61,15.6,5.16,3173.60,100,222.15
351,Asus,VivoBook S15,Intel i5-14600H,NVIDIA RTX 4050,32,SSD,2048,FALSE,1.4,13.3,2.99,2050.80,100,143.56
352,Asus,ROG Zephyrus G15,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,32,SSD,4096,FALSE,1.41,13.3,2.4,3305.60,100,231.39
353,Dell,Alienware M15,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,8,SSD,512,TRUE,1.96,16,3.18,2905.20,120,203.36
354,Dell,Alienware M15,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,SSD,4096,TRUE,3.34,18.4,5.96,2405.60,120,144.34
355,Dell,XPS 15,Intel i5-14600H,Intel Iris Xe,64,SSD,1024,TRUE,1.47,13.3,6.25,2074.40,120,124.46
356,Dell,XPS 13,Intel i9-14900HK,NVIDIA RTX 4070,64,SSD,256,FALSE,2.46,16,5.74,3207.60,120,160.38
357,Dell,XPS 13,Intel i5-14500H,Intel Iris Xe,8,SSD,1024,TRUE,2.03,16,4.79,1656.40,120,82.82
358,Dell,Latitude 7420,Intel i5-14500H,NVIDIA RTX 3050,16,SSD,1024,FALSE,2.89,17.3,5.63,1600.40,120,80.02
359,Dell,XPS 13,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,64,SSD,4096,TRUE,1.43,14,6.47,3081.60,120,154.08
360,Dell,Alienware M15,Intel Core Ultra 7 15500H,Intel Arc A750M,32,SSD,4096,FALSE,1.23,14,2.23,1985.60,120,119.14
361,Dell,Latitude 7420,Intel Core Ultra 9 15700H,Intel Arc A750M,32,SSD,512,TRUE,2.91,18.4,3.32,1697.20,120,84.86
362,Dell,Alienware M15,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,8,SSD,256,TRUE,1.34,14,4.41,2249.60,120,112.48
363,Dell,XPS 13,Intel Core Ultra 7 15500H,Intel Arc A750M,128,SSD,256,FALSE,2.46,16,2.45,2319.60,120,139.18
364,Dell,XPS 15,Intel i5-14600H,Intel Iris Xe,64,SSD,256,FALSE,1.21,13.3,5.07,1957.60,120,137.03
365,Dell,Latitude 7420,Intel i7-14700H,NVIDIA RTX 4070,8,SSD,1024,FALSE,2.39,15.6,3.87,2536.40,120,177.55
366,Dell,XPS 15,Intel i5-14600H,Intel Iris Xe,64,SSD,1024,FALSE,2.79,17.3,6.03,1984.40,120,99.22
